id;logo_path;name;origin_country;movie_id
2466;;WFD;;125
7984;;"Zespól Filmowy ""Tor""";;126
6480;/qJUUNzFYXNUDaisssBTV3Zdki9R.png;TVP;PL;126
1587;;Film Polski;PL;127
10342;/eS79pslnoKbWg7t3PMA9ayl0bGs.png;Studio Ghibli;JP;128
12516;;Nibariki;JP;128
2752;/qEGEoCAV9FWAuohymR5I0vjJMgM.png;dentsu Music And Entertainment;JP;128
67681;;TNDG;;128
1779;/41nGzTdCnORYZIZzaGZtfsBwQCl.png;Tokuma Shoten;JP;128
6755;/c0ENH8QeZLvCACpzCpwvYMy2SDr.png;Nippon Television Network Corporation;JP;128
1778;/b5rT6VbYza3LyfltCmz1OcqzWJM.png;dentsu;JP;128
10342;/eS79pslnoKbWg7t3PMA9ayl0bGs.png;Studio Ghibli;JP;129
14563;;Maysles Films;US;132
2401;;Drew Associates;US;133
33;/8lvHyhjr8oUKOOy2dKXoALWKdp0.png;Universal Pictures;US;134
9195;/ou5BUbtulr6tIt699q6xJiEQTR9.png;Touchstone Pictures;US;134
10163;/16KWBMmfPX0aJzDExDrPxSLj0Pg.png;Working Title Films;GB;134
171134;;Blind Bard Pictures;;134
694;/5LEHONGkZBIoWvp1ygHOF8iyi1M.png;StudioCanal;FR;134
91189;;Leacock-Pennebaker;;135
21;/5Va1Ie5c4sjfEYqixQ3L8qg7fKu.png;Metro-Goldwyn-Mayer;US;136
5;/lieeAioEBVsgsoDT9HICrdt5iRa.png;Columbia Pictures;US;137
33;/8lvHyhjr8oUKOOy2dKXoALWKdp0.png;Universal Pictures;US;138
155;/cDY49SOQwJixJSMun9Haerx8dAQ.png;Nimbus Film;DK;139
119;/1di2gITGUZr730AMuMKiCrP90Vl.png;DR;DK;139
157;/s537keIoi6wUOU8E9ztWaV2DY1H.png;SVT Drama;SE;139
76;/nebkQYtQKhZyHJfh5v0oGpNbPzu.png;Zentropa Entertainments;DK;139
9335;;Canal+ España;ES;140
49;/xpf5iHdvvBtsH8jBMlgIJHAET0c.png;El Deseo;ES;140
981;/pkrdO9ykplO4Zc8edikoSX5APUN.png;TVE;ES;140
9974;/jd5x1rD18FAswqv1tRwPJCSbRGz.png;ICAA;ES;140
168321;;Preparatory Action of the European Union;;140
19813;;Flower Films;US;141
5367;;Gaylord Films;;141
3334;;Adam Fields Productions;;141
185;;Pandora Cinema;;141
10146;/xnFIOeq5cKw09kCWqV7foWDe4AA.png;Focus Features;US;142
1246;/lmeFQGzHEds5t2UfmODyrbf2nXm.png;River Road Entertainment;US;142
3997;;Alberta Film Entertainment;;142
33;/8lvHyhjr8oUKOOy2dKXoALWKdp0.png;Universal Pictures;US;143
6116;;Argos Films;FR;144
36229;;Wim Wenders Stiftung;DE;144
46;/3xFdKHLXPGHEbrAkmsepGE8974Y.png;WDR;DE;144
45;/tUkNOAjyTt9D56DUeQfmmAFvwYQ.png;Road Movies;DE;144
123;;Trust Film;;145
118;/AiBorgNTCS1lT1FdFPYheax9jfF.png;Det Danske Filminstitut;DK;145
2269;;China Film Co-Production Corporation;;146
2798;;Columbia Pictures Film Production Asia;;146
10565;;Good Machine;US;146
20289;;Asia Union Film & Entertainment Ltd.;;146
20290;;United China Vision;;146
20291;;Zoom Hunt International Productions Company Ltd.;;146
5;/lieeAioEBVsgsoDT9HICrdt5iRa.png;Columbia Pictures;US;146
